"country_code","series_code","year","value"
BFA,IT.NET.USER.P2,"2007",0.75
BFA,IT.NET.USER.P2,"2008",0.92
BFA,IT.NET.USER.P2,"2009",1.13
BFA,IT.NET.USER.P2,"2010",2.4
BFA,IT.NET.USER.P2,"2011",3.0
BFA,IT.NET.USER.P2,"2012",3.725034916
BFA,IT.NET.USER.P2,"2013",9.1
BFA,IT.NET.USER.P2,"2014",9.4
BFA,IT.NET.USER.P2,"2015",11.38764617
BGD,EG.USE.COMM.GD.PP.KD,"2006",82.70750713
BGD,EG.USE.COMM.GD.PP.KD,"2007",80.71167789
BGD,EG.USE.COMM.GD.PP.KD,"2008",79.90871721
BGD,EG.USE.COMM.GD.PP.KD,"2009",80.03024997
BGD,EG.USE.COMM.GD.PP.KD,"2010",82.09909205
BGD,EG.USE.COMM.GD.PP.KD,"2011",79.99961401
BGD,EG.USE.COMM.GD.PP.KD,"2012",78.80905678
BGD,EG.USE.COMM.GD.PP.KD,"2013",75.91702277
BGD,EG.USE.COMM.GD.PP.KD,"2014",74.74532541
BGD,EG.USE.COMM.GD.PP.KD,"2015",NA
BGD,IT.NET.USER.P2,"2006",1.0
BGD,IT.NET.USER.P2,"2007",1.8
BGD,IT.NET.USER.P2,"2008",2.5
BGD,IT.NET.USER.P2,"2009",3.1
BGD,IT.NET.USER.P2,"2010",3.7
BGD,IT.NET.USER.P2,"2011",4.5
BGD,IT.NET.USER.P2,"2012",5.0
BGD,IT.NET.USER.P2,"2013",6.63
BGD,IT.NET.USER.P2,"2014",13.9
BGD,IT.NET.USER.P2,"2015",14.4
BGR,EG.USE.COMM.GD.PP.KD,"2006",201.2319257
BGR,EG.USE.COMM.GD.PP.KD,"2007",184.3378043
BGR,EG.USE.COMM.GD.PP.KD,"2008",171.5348418
BGR,EG.USE.COMM.GD.PP.KD,"2009",156.9380599
BGR,EG.USE.COMM.GD.PP.KD,"2010",158.1271882
BGR,EG.USE.COMM.GD.PP.KD,"2011",166.9496515
BGR,EG.USE.COMM.GD.PP.KD,"2012",159.3543615
BGR,EG.USE.COMM.GD.PP.KD,"2013",145.5942272
BGR,EG.USE.COMM.GD.PP.KD,"2014",151.9817618
BGR,EG.USE.COMM.GD.PP.KD,"2015",NA
BGR,IT.NET.USER.P2,"2006",27.09
BGR,IT.NET.USER.P2,"2007",33.64
BGR,IT.NET.USER.P2,"2008",39.67
BGR,IT.NET.USER.P2,"2009",45.0
BGR,IT.NET.USER.P2,"2010",46.23
BGR,IT.NET.USER.P2,"2011",47.97999305
BGR,IT.NET.USER.P2,"2012",51.89998767
BGR,IT.NET.USER.P2,"2013",53.0615
BGR,IT.NET.USER.P2,"2014",55.49
BGR,IT.NET.USER.P2,"2015",56.6563
BHR,EG.USE.COMM.GD.PP.KD,"2006",271.9337142
BHR,EG.USE.COMM.GD.PP.KD,"2007",262.7554571
BHR,EG.USE.COMM.GD.PP.KD,"2008",268.1021295
BHR,EG.USE.COMM.GD.PP.KD,"2009",253.9370572
BHR,EG.USE.COMM.GD.PP.KD,"2010",251.6075103
BHR,EG.USE.COMM.GD.PP.KD,"2011",246.7795174
BHR,EG.USE.COMM.GD.PP.KD,"2012",235.7785679
BHR,EG.USE.COMM.GD.PP.KD,"2013",244.0660905
BHR,EG.USE.COMM.GD.PP.KD,"2014",241.6660354
BHR,EG.USE.COMM.GD.PP.KD,"2015",NA
BHR,IT.NET.USER.P2,"2006",28.24395243
BHR,IT.NET.USER.P2,"2007",32.91
BHR,IT.NET.USER.P2,"2008",51.95
BHR,IT.NET.USER.P2,"2009",53.0
BHR,IT.NET.USER.P2,"2010",55.0
BHR,IT.NET.USER.P2,"2011",76.9999665
BHR,IT.NET.USER.P2,"2012",88.0
BHR,IT.NET.USER.P2,"2013",90.0000397
BHR,IT.NET.USER.P2,"2014",90.50313348
BHR,IT.NET.USER.P2,"2015",93.47830114
BHS,EG.USE.COMM.GD.PP.KD,"2006",64.55422922
BHS,EG.USE.COMM.GD.PP.KD,"2007",63.90413711
BHS,EG.USE.COMM.GD.PP.KD,"2008",NA
BHS,EG.USE.COMM.GD.PP.KD,"2009",NA
BHS,EG.USE.COMM.GD.PP.KD,"2010",NA
BHS,EG.USE.COMM.GD.PP.KD,"2011",NA
BHS,EG.USE.COMM.GD.PP.KD,"2012",NA
BHS,EG.USE.COMM.GD.PP.KD,"2013",NA
BHS,EG.USE.COMM.GD.PP.KD,"2014",NA
BHS,EG.USE.COMM.GD.PP.KD,"2015",NA
BHS,IT.NET.USER.P2,"2006",26.0
BHS,IT.NET.USER.P2,"2007",27.0
BHS,IT.NET.USER.P2,"2008",31.54
BHS,IT.NET.USER.P2,"2009",33.88
BHS,IT.NET.USER.P2,"2010",43.0
BHS,IT.NET.USER.P2,"2011",65.0
BHS,IT.NET.USER.P2,"2012",71.74820281
BHS,IT.NET.USER.P2,"2013",72.0
BHS,IT.NET.USER.P2,"2014",76.92
BHS,IT.NET.USER.P2,"2015",78.0
BIH,EG.USE.COMM.GD.PP.KD,"2006",160.0187357
BIH,EG.USE.COMM.GD.PP.KD,"2007",151.4637513
BIH,EG.USE.COMM.GD.PP.KD,"2008",161.2359741
BIH,EG.USE.COMM.GD.PP.KD,"2009",173.3402077
BIH,EG.USE.COMM.GD.PP.KD,"2010",179.1415015
BIH,EG.USE.COMM.GD.PP.KD,"2011",195.6307847
BIH,EG.USE.COMM.GD.PP.KD,"2012",184.5113602
BIH,EG.USE.COMM.GD.PP.KD,"2013",174.0719856
BIH,EG.USE.COMM.GD.PP.KD,"2014",208.6241829
BIH,EG.USE.COMM.GD.PP.KD,"2015",NA
BIH,IT.NET.USER.P2,"2006",25.12238569
BIH,IT.NET.USER.P2,"2007",27.92
BIH,IT.NET.USER.P2,"2008",34.66
BIH,IT.NET.USER.P2,"2009",37.74
BIH,IT.NET.USER.P2,"2010",42.75
BIH,IT.NET.USER.P2,"2011",43.88768653
BIH,IT.NET.USER.P2,"2012",45.06450043
BIH,IT.NET.USER.P2,"2013",48.52131417
BIH,IT.NET.USER.P2,"2014",49.91773243
BIH,IT.NET.USER.P2,"2015",52.6
BLR,EG.USE.COMM.GD.PP.KD,"2006",238.9443326
BLR,EG.USE.COMM.GD.PP.KD,"2007",215.5090575
BLR,EG.USE.COMM.GD.PP.KD,"2008",195.8355933
BLR,EG.USE.COMM.GD.PP.KD,"2009",185.5675096
BLR,EG.USE.COMM.GD.PP.KD,"2010",178.6271425
BLR,EG.USE.COMM.GD.PP.KD,"2011",180.4457124
BLR,EG.USE.COMM.GD.PP.KD,"2012",184.3513893
BLR,EG.USE.COMM.GD.PP.KD,"2013",163.2016244
BLR,EG.USE.COMM.GD.PP.KD,"2014",163.2014026
BLR,EG.USE.COMM.GD.PP.KD,"2015",NA
BLR,IT.NET.USER.P2,"2006",16.2
BLR,IT.NET.USER.P2,"2007",19.7
BLR,IT.NET.USER.P2,"2008",23.0
BLR,IT.NET.USER.P2,"2009",27.43
BLR,IT.NET.USER.P2,"2010",31.8
BLR,IT.NET.USER.P2,"2011",39.64889566
BLR,IT.NET.USER.P2,"2012",46.91
BLR,IT.NET.USER.P2,"2013",54.17
BLR,IT.NET.USER.P2,"2014",59.02
BLR,IT.NET.USER.P2,"2015",67.3
BLZ,EG.USE.COMM.GD.PP.KD,"2006",73.74110401
